tac,brand,model,device_type
01194800,Apple,iPhone 3GS,Phone
01195200,Apple,iPhone 3GS,Phone
01203000,Apple,iPhone 3GS,Phone
01215400,Apple,iPhone 3GS,Phone
01215600,Apple,iPhone 3GS,Phone
01216200,Apple,iPhone 3GS,Phone
01216300,Apple,iPhone 3GS,Phone
01242200,Apple,iPhone 4,Phone
01243000,Apple,iPhone 4,Phone
01243100,Apple,iPhone 4,Phone
01253300,Apple,iPhone 4,Phone
01254100,Apple,iPhone 4,Phone
01275000,Apple,iPhone 4,Phone
01283700,Apple,iPhone 4,Phone
01294000,Apple,iPhone 4s,Phone
01300600,Apple,iPhone 4s,Phone
01303900,Apple,iPhone 4s,Phone
01304000,Apple,iPhone 4s,Phone
01304600,Apple,iPhone 4s,Phone
01305100,Apple,iPhone 4s,Phone
01305200,Apple,iPhone 4s,Phone
01305300,Apple,iPhone 4s,Phone
01306200,Apple,iPhone 4s,Phone
01306400,Apple,iPhone 4s,Phone
01306800,Apple,iPhone 4s,Phone
01312600,Apple,iPhone 4,Phone
01312700,Apple,iPhone 4,Phone
01312800,Apple,iPhone 4,Phone
01317900,Apple,iPhone 4s,Phone
01318300,Apple,iPhone 4s,Phone
01326300,Apple,iPhone 4,Phone
01334500,Apple,iPhone 5,Phone
01334600,Apple,iPhone 5,Phone
01335000,Apple,iPhone 5,Phone
01335100,Apple,iPhone 5,Phone
01340300,Apple,iPhone 5,Phone
01340400,Apple,iPhone 5,Phone
01341100,Apple,iPhone 5,Phone
01341400,Apple,iPhone 5,Phone
01341700,Apple,iPhone 5,Phone
01341800,Apple,iPhone 5,Phone
01342000,Apple,iPhone 5,Phone
01342100,Apple,iPhone 5,Phone
01342200,Apple,iPhone 5,Phone
01343800,Apple,iPhone 5,Phone
01344100,Apple,iPhone 5,Phone
01355100,Apple,iPhone 5,Phone
01355600,Apple,iPhone 5,Phone
01361900,Apple,iPhone 5,Phone
01362500,Apple,iPhone 5,Phone
01363100,Apple,iPhone 5,Phone
35104463,Apple,iPhone 13,Phone
35298409,Apple,iPhone 7,Phone
35298509,Apple,iPhone 7,Phone
35298609,Apple,iPhone 7,Phone
35298709,Apple,iPhone 7,Phone
35298809,Apple,iPhone 7,Phone
35299209,Apple,iPhone 8,Phone
35303409,Apple,iPad 6th Gen,Tablet
35303609,Apple,iPad 6th Gen,Tablet
35306909,Apple,iPhone 7,Phone
35307009,Apple,iPhone 7,Phone
35307109,Apple,iPhone 7,Phone
35307209,Apple,iPhone 7,Phone
35307309,Apple,iPhone 7,Phone
35307409,Apple,iPhone 7,Phone
35307509,Apple,iPhone 7,Phone
35315011,Apple,"iPad Pro 12.9""",Tablet
35315012,Apple,"iPad Pro 11""",Tablet
35315013,Apple,iPad Air,Tablet
35315014,Apple,iPad 10th Gen,Tablet
35315015,Apple,Apple Watch Ultra 2,Watch
35315016,Apple,Apple Watch Series 9,Watch
35315017,Apple,Apple Watch SE 2,Watch
35316210,Apple,iPhone 8,Phone
35316310,Apple,iPhone 8,Phone
35316410,Apple,iPhone 8 Plus,Phone
35316510,Apple,iPhone 8 Plus,Phone
35316610,Apple,iPhone 8 Plus,Phone
35318810,Apple,iPad Air 3,Tablet
35319310,Apple,iPhone X,Phone
35320310,Apple,iPhone X,Phone
35320410,Apple,iPhone X,Phone
35321810,Apple,iPhone XR,Phone
35321910,Apple,iPhone XR,Phone
35322010,Apple,iPhone XR,Phone
35322110,Apple,iPhone XS,Phone
35322210,Apple,iPhone XS,Phone
35322310,Apple,iPhone XS,Phone
35322410,Apple,iPhone XS,Phone
35322510,Apple,iPhone XS,Phone
35323110,Apple,iPhone XS Max,Phone
35323210,Apple,iPhone XS Max,Phone
35323310,Apple,iPhone XS Max,Phone
35325611,Apple,iPhone 13 Pro Max,Phone
35325612,Apple,iPhone 13 Pro Max,Phone
35325613,Apple,iPhone 13 Pro,Phone
35325614,Apple,iPhone 13 Pro,Phone
35325615,Apple,iPhone 13,Phone
35325616,Apple,iPhone 13,Phone
35325617,Apple,iPhone 13 Mini,Phone
35331807,Apple,iPhone 6,Phone
35331907,Apple,iPhone 6,Phone
35332007,Apple,iPhone 6,Phone
35332107,Apple,iPhone 6,Phone
35332510,Apple,iPhone 15 Pro Max,Phone
35342732,Apple,iPhone 17 Pro Max,Phone
35342733,Apple,iPhone 17 Pro Max,Phone
35342734,Apple,iPhone 17 Pro Max,Phone
35342735,Apple,iPhone 17 Pro,Phone
35342736,Apple,iPhone 17 Pro,Phone
35342737,Apple,iPhone 17,Phone
35342738,Apple,iPhone 17,Phone
35349011,Apple,iPhone 11 Pro Max,Phone
35349012,Apple,iPhone 11 Pro Max,Phone
35349013,Apple,iPhone 11 Pro,Phone
35349014,Apple,iPhone 11,Phone
35349015,Apple,iPhone 11,Phone
35349016,Apple,iPhone SE,Phone
35349017,Apple,iPhone SE,Phone
35377808,Apple,iPhone 7,Phone
35380108,Apple,iPhone 6s,Phone
35380208,Apple,iPhone 7,Phone
35380308,Apple,iPhone 7,Phone
35380408,Apple,iPhone 7,Phone
35380508,Apple,iPhone 7,Phone
35380608,Apple,iPhone 7,Phone
35381208,Apple,iPhone 7 Plus,Phone
35382208,Apple,iPhone 7,Phone
35382308,Apple,iPhone 7,Phone
35382408,Apple,iPhone 7,Phone
35382508,Apple,iPhone 7,Phone
35382608,Apple,iPhone 7,Phone
35383308,Apple,iPhone 7,Phone
35383508,Apple,iPhone 7,Phone
35383608,Apple,iPhone 7,Phone
35383708,Apple,iPhone 7,Phone
35384108,Apple,iPhone 7,Phone
35384208,Apple,iPhone 7,Phone
35384308,Apple,iPhone 7,Phone
35384408,Apple,iPhone 7,Phone
35384508,Apple,iPhone 7,Phone
35390011,Apple,iPhone 12 Pro Max,Phone
35390012,Apple,iPhone 12 Pro Max,Phone
35390013,Apple,iPhone 12 Pro,Phone
35390014,Apple,iPhone 12,Phone
35390015,Apple,iPhone 12,Phone
35390016,Apple,iPhone 12 Mini,Phone
35391011,Apple,iPhone 15 Pro Max,Phone
35391012,Apple,iPhone 15 Pro Max,Phone
35391013,Apple,iPhone 15 Pro Max,Phone
35391014,Apple,iPhone 16 Pro Max,Phone
35391015,Apple,iPhone 16 Pro Max,Phone
35391016,Apple,iPhone 16 Pro Max,Phone
35391017,Apple,iPhone 16 Pro,Phone
35391018,Apple,iPhone 16 Pro,Phone
35391019,Apple,iPhone 16,Phone
35391020,Apple,iPhone 16,Phone
35391021,Apple,iPhone 16 Plus,Phone
35407111,Apple,iPhone 15 Pro Max,Phone
35407112,Apple,iPhone 15 Pro Max,Phone
35407113,Apple,iPhone 14 Pro Max,Phone
35407114,Apple,iPhone 14 Pro Max,Phone
35407115,Apple,iPhone 14 Pro Max,Phone
35407116,Apple,iPhone 16 Pro Max,Phone
35407117,Apple,iPhone 16 Pro,Phone
35482609,Apple,iPhone 7,Phone
35482709,Apple,iPhone 7,Phone
35482809,Apple,iPhone 7,Phone
35491209,Apple,iPhone 7,Phone
35508675,Apple,iPhone 14 Pro Max,Phone
35530108,Apple,iPhone 7,Phone
35530808,Apple,iPhone 7,Phone
35530908,Apple,iPhone 7,Phone
35531008,Apple,iPhone 7,Phone
35531108,Apple,iPhone 7,Phone
35531208,Apple,iPhone 7,Phone
35531308,Apple,iPhone 7,Phone
35531408,Apple,iPhone 7,Phone
35531508,Apple,iPhone 7,Phone
35531608,Apple,iPhone 7,Phone
35531708,Apple,iPhone 7,Phone
35531808,Apple,iPhone 7,Phone
35531908,Apple,iPhone 7,Phone
35532008,Apple,iPhone 7,Phone
35532108,Apple,iPhone 7,Phone
35532208,Apple,iPhone 7,Phone
35532308,Apple,iPhone 7,Phone
35532408,Apple,iPhone 7,Phone
35532508,Apple,iPhone 7,Phone
35532608,Apple,iPhone 7,Phone
35532708,Apple,iPhone 7,Phone
35532808,Apple,iPhone 7,Phone
35532908,Apple,iPhone 7,Phone
35533008,Apple,iPhone 7,Phone
35533108,Apple,iPhone 7,Phone
35533208,Apple,iPhone 7,Phone
35533308,Apple,iPhone 7,Phone
35533408,Apple,iPhone 7,Phone
35533508,Apple,iPhone 7,Phone
35533608,Apple,iPhone 7,Phone
35533708,Apple,iPhone 7,Phone
35533808,Apple,iPhone 7,Phone
35533908,Apple,iPhone 7,Phone
35534008,Apple,iPhone 7,Phone
35534108,Apple,iPhone 7,Phone
35534208,Apple,iPhone 7,Phone
35534308,Apple,iPhone 7,Phone
35534408,Apple,iPhone 7,Phone
35539407,Apple,iPhone 6,Phone
35539607,Apple,iPhone 6,Phone
35544131,Apple,iPhone 16e,Phone
35544207,Apple,iPhone SE,Phone
35582008,Apple,iPad Pro 10.5-inch,Tablet
35582408,Apple,iPhone 7,Phone
35582508,Apple,iPhone 7,Phone
35582608,Apple,iPhone 7,Phone
35582708,Apple,iPhone 7,Phone
35582808,Apple,iPhone 7,Phone
35582908,Apple,iPhone 7,Phone
35583008,Apple,iPhone 7,Phone
35583108,Apple,iPhone 7,Phone
35583208,Apple,iPhone 7,Phone
35583308,Apple,iPhone 7,Phone
35584408,Apple,iPhone 7,Phone
35584508,Apple,iPhone 7,Phone
35584608,Apple,iPhone 7,Phone
35584708,Apple,iPhone 7,Phone
35584808,Apple,iPhone 7,Phone
35584908,Apple,iPhone 7,Phone
35585008,Apple,iPhone 7,Phone
35585108,Apple,iPhone 7,Phone
35585208,Apple,iPhone 7,Phone
35585308,Apple,iPhone 7,Phone
35648710,Apple,iPhone SE,Phone
35655408,Apple,iPhone 7,Phone
35655508,Apple,iPhone 7,Phone
35655608,Apple,iPhone 7,Phone
35655708,Apple,iPhone 7,Phone
35655808,Apple,iPhone 7,Phone
35655908,Apple,iPhone 7,Phone
35656008,Apple,iPhone 7,Phone
35656108,Apple,iPhone 7,Phone
35656208,Apple,iPhone 7,Phone
35656308,Apple,iPhone 7,Phone
35667808,Apple,iPhone 6,Phone
35676300,Apple,iPhone 8,Phone
35695917,Apple,iPhone 14 Pro,Phone
35727609,Apple,iPhone XS,Phone
35845501,Apple,iPhone 14 Pro,Phone
35845502,Apple,iPhone 14 Pro,Phone
35845503,Apple,iPhone 14,Phone
35845504,Apple,iPhone 14,Phone
35845505,Apple,iPhone 14 Plus,Phone
35845506,Apple,iPhone 15 Pro,Phone
35845507,Apple,iPhone 15 Pro,Phone
35845508,Apple,iPhone 15 Pro,Phone
35845509,Apple,iPhone 15,Phone
35845510,Apple,iPhone 15,Phone
35845511,Apple,iPhone 15 Plus,Phone
35880505,Apple,iPhone 5s,Phone
35912707,Apple,iPhone 7,Phone
35915007,Apple,iPhone 7,Phone
35915207,Apple,iPhone 7,Phone
35915407,Apple,iPhone 7,Phone
35916107,Apple,iPhone 7,Phone
35916207,Apple,iPhone 7,Phone
35916307,Apple,iPhone 7,Phone
35916407,Apple,iPhone 7,Phone
35916507,Apple,iPhone 7,Phone
35916607,Apple,iPhone 7,Phone
35916707,Apple,iPhone 7,Phone
35916807,Apple,iPhone 7,Phone
35916907,Apple,iPhone 7,Phone
35917007,Apple,iPhone 7,Phone
35918107,Apple,iPhone 7,Phone
35918207,Apple,iPhone 7,Phone
35918307,Apple,iPhone 7,Phone
35918407,Apple,iPhone 7,Phone
35918507,Apple,iPhone 7,Phone
35920207,Apple,iPhone 7,Phone
35920407,Apple,iPhone 7,Phone
35920507,Apple,iPhone 7,Phone
35920607,Apple,iPhone 7,Phone
35920707,Apple,iPhone 7,Phone
35920907,Apple,iPhone 7,Phone
35921007,Apple,iPhone 7,Phone
35921207,Apple,iPhone 7,Phone
35921307,Apple,iPhone 7,Phone
35921407,Apple,iPhone 7,Phone
35925406,Apple,iPhone 6,Phone
35945808,Apple,iPhone 7,Phone
35945908,Apple,iPhone 7,Phone
35946008,Apple,iPhone 7,Phone
35946108,Apple,iPhone 7,Phone
35946208,Apple,iPhone 7,Phone
35946308,Apple,iPhone 7,Phone
35946408,Apple,iPhone 7,Phone
35946508,Apple,iPhone 7,Phone
35946608,Apple,iPhone 7,Phone
35946708,Apple,iPhone 7,Phone
86217103,Apple,iPhone 16 Pro,Phone
86425604,Apple,iPhone 16 Pro Max,Phone
